NEWID,Income Class,Education,Division,Family Type,Area Type,QINTRVMO,QINTRVYR,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,NUM_AUTO,NUM_TVAN,OCCUCOD1,OCCUCOD2,MARITAL1,REGION,POPSIZE,CUTENURE,VEHQ,VEHQL,FINCBTXM,INC_RANK,FAM_SIZE,CHILDAGE,PERSLT18,PERSOT64,AS_COMP1,AS_COMP2,AS_COMP3,AS_COMP4,AS_COMP5,FOODCQ,FDAWAYCQ,ALCBEVCQ,RENDWECQ,ALLFULCQ,BBYDAYCQ,TEXTILCQ,FURNTRCQ,APPARCQ,MENBOYCQ,MENSIXCQ,BOYFIFCQ,GRLFIFCQ,CHLDRNCQ,FOOTWRCQ,OTHAPLCQ,TRANSCQ,CARTKNCQ,CARTKUCQ,GASMOCQ,PUBTRACQ,ENTERTCQ,PETTOYCQ,PERSCACQ,READCQ,TOTEXPCQ
4215384,1,10,9,8,1,April,2020,53,,2,,1,,0,1,10,,4,4,1,4,1,0,27577.6,0.162155,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4218634,6,10,2,5,1,April,2020,56,46,2,1,1,1,3,1,10,12,1,1,1,4,4,0,163747.4,0.8468833,7,7,2,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4218864,7,10,7,8,1,April,2020,63,,2,,1,,1,0,,,4,3,5,2,1,0,6375,0.0087802,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4223274,2,10,7,1,1,April,2020,42,44,2,1,1,1,0,1,4,12,1,3,2,4,1,0,27000,0.3228891,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4223404,1,10,8,9,1,April,2020,60,,2,,1,,1,1,10,,2,4,2,4,2,0,40119.8,0.1112534,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4227834,2,10,7,9,1,May,2020,44,,2,,1,,0,1,,,4,3,2,4,1,0,40782.4,0.2612033,4,0,1,1,2,1,1,0,0,498.3333,0,20,380,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,25,25,0,0,1706.3167
4228514,3,10,5,3,1,May,2020,39,40,1,2,1,1,2,2,12,,1,3,3,1,4,0,44000,0.4674594,3,5,1,0,1,1,0,1,0,1083.3333,216.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,350,0,18,0,25,0,3002.8333
4229374,5,10,2,5,1,May,2020,25,29,2,1,1,1,2,1,9,12,1,1,1,4,3,0,102168,0.7626615,5,1,1,0,3,1,1,0,0,866.6667,0,0,2300,0,0,0,0,130,0,0,0,0,30,100,0,463.3333,0,0,400,0,234,70,133.3333,0,6470.75
4229474,5,10,7,9,1,May,2020,51,,2,,1,,1,1,10,,4,3,4,4,2,0,110550.6,0.7486629,4,7,1,0,1,2,0,0,1,455,130,0,650,0,0,13,67,204,0,0,0,0,204,0,0,480,0,0,120,0,0,0,0,0,3700.0833
4230644,4,10,,3,1,May,2020,32,26,1,2,1,1,0,2,11,11,1,,5,1,2,0,50500,0.5149933,4,2,2,0,1,1,2,0,0,693.3333,86.6667,100,0,0,150,0,0,60,0,0,0,0,60,0,0,100,0,0,100,0,70,0,20,0,4168.75
