NEWID,Income Class,Education,Division,Family Type,Transportation,Food,Rented Dwelling,Entertainment,Eat Out,Alcohol Beverages,Fuel,Babysitting and Childcare,Furniture,Apparel,Male Clothing,Men Clothing,Footwear,Other Apparel,Cars and Trucks,Gas,Public Transportation,Pet and Toy,Personal Care,Household Textiles,Reading,Boy Clothing,Girl Clothing,Child Clothing
4215884,4,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4216414,3,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4218064,3,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4218124,3,13,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4218444,6,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4218914,6,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4219584,3,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4219924,2,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4220614,5,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4220854,3,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221174,4,11,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4222844,4,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4223624,5,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4223674,6,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4224124,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4224194,3,11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4224484,2,15,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4224664,4,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4224794,2,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4225604,5,16,1,9,300,520,0,121,0,100,145,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0
4226004,2,11,1,8,50,117,778,55,0,100,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
4226734,1,11,1,8,20,173.3333,171,67,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
4226864,4,13,1,8,40,736.6667,0,26,130,20,0,0,0,30,0,0,0,0,0,40,0,0,0,0,0,0,0,0
4227064,5,12,1,1,1132,931.6667,1265,0,325,15,0,0,5100,250,0,0,250,0,0,250,0,0,13.3333,0,0,0,0,0
4227274,3,13,1,1,484,238.3333,0,0,65,0,0,0,0,0,0,0,0,0,0,100,0,0,26.6667,0,40,0,0,0
4227584,7,13,1,8,0,65,258,51,0,100,0,0,0,1.6667,0,0,0,1.6667,0,0,0,0,0,0,0,0,0,0
4227774,4,12,1,1,129,628.3333,0,106,216.6667,0,510,0,0,15,15,15,0,0,0,83,0,0,0,0,0,0,0,0
4228434,5,16,1,1,203.6667,1733.3333,0,85,650,25,190,0,0,231,0,0,60,50,0,200,0,0,150,0,10,0,0,0
4228474,3,14,1,1,544.6667,693.3333,0,217,433.3333,22,0,0,0,0,0,0,0,0,0,400,0,90,0,0,0,0,0,0
4228604,6,15,1,9,2638.3333,1901.6667,1600,0,385,190,0,0,80,0,0,0,0,0,0,200,346.6667,0,0,0,0,0,0,0
4229494,4,13,1,4,20,563.3333,0,132,0,0,0,0,0,0,0,0,0,0,0,20,0,0,25,0,0,0,0,0
4229714,2,14,1,8,581,164.6667,0,150,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0,127,0,0,0
4229774,5,15,1,9,976.6667,1040,0,325,433.3333,50,292,0,115,0,0,0,0,0,0,100,0,20,0,0,0,0,0,0
4229804,6,15,1,8,123,650,850,650,260,300,0,0,0,150,150,150,0,0,0,100,0,0,20,0,0,0,0,0
4230764,3,15,1,8,455,195,0,116,0,0,170,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
4231674,6,14,1,1,766.6667,628.3333,0,115,325,140,0,0,0,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0
4232134,6,13,1,4,1721,650,0,105,216.6667,50,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0
4233254,3,13,1,1,60,303.3333,0,92,0,100,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
4234614,6,13,1,1,80,541.6667,0,196,108.3333,50,0,0,0,0,0,0,0,0,0,80,0,0,33.3333,0,0,0,0,0
4234894,4,11,1,4,500,628.3333,0,75,108.3333,0,200,0,630,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
4235964,6,16,1,4,852.6667,1538.3333,0,351,520,233,385,0,0,122,0,0,0,122,0,173,0,0,68,0,71,0,0,0
4236024,6,16,1,3,309,1365,0,8,433.3333,30,400,0,0,0,0,0,0,0,0,300,0,0,33.3333,0,0,0,0,0
4237294,6,16,1,1,28283,2210,0,4278,650,100,388,0,0,80,40,0,40,0,0,50,0,4028,89,0,0,40,0,0
4238524,4,15,1,1,128,1430,0,152,260,40,0,0,0,28,28,28,0,0,0,50,0,0,0,64,0,0,0,0
4238604,2,15,1,8,295,476.6667,0,0,0,0,0,0,385,23,0,0,0,0,0,70,0,0,0,0,0,0,0,0
4238724,3,15,1,1,80,624,0,254,0,0,0,0,0,0,0,0,0,0,0,80,0,0,53.3333,0,0,0,0,0
4238764,7,12,1,3,1121,1300,2450,0,86.6667,0,0,0,0,53.3333,0,0,0,53.3333,0,200,0,0,0,0,0,0,0,0
4239394,7,11,1,9,2001.3333,910,0,264,216.6667,0,0,0,0,0,0,0,0,0,0,130,0,25,0,0,0,0,0,0
4239534,5,12,1,9,3173.3333,3986.6667,1994,295,433.3333,0,0,0,140,104,0,0,0,0,0,160,0,0,0,0,0,0,104,0
4239554,7,12,1,1,100,780,948,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
4239654,5,15,1,8,50,1906.6667,0,188,866.6667,140,0,0,0,150,0,0,0,0,0,0,50,0,43.3333,0,0,0,0,0
4240014,2,13,1,8,200,520,0,250,0,0,0,0,0,122.6667,61,61,11,26.6667,0,200,0,0,0,0,0,0,0,0
4240054,2,13,1,8,640,216.6667,568,0,0,0,0,0,0,39,39,39,0,0,0,60,0,0,0,0,0,0,0,0
4240284,2,12,1,4,100,606.6667,0,73,86.6667,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
4240754,2,14,1,8,1085,866.6667,0,214,216.6667,20,0,0,0,160,0,0,94,0,0,100,0,0,0,0,25,0,0,0
4241554,2,12,1,8,1364,1516.6667,0,402,0,400,0,0,0,120,0,0,0,120,0,400,0,0,16.6667,0,0,0,0,0
4241714,7,16,1,8,1500,2227.3333,0,560,0,0,0,0,0,0,0,0,0,0,0,180,0,560,20,0,0,0,0,0
4242164,4,16,1,7,450,1733.3333,2240,40,520,0,200,0,0,100,100,0,0,0,0,120,0,0,0,0,0,100,0,0
4242894,5,12,1,6,2631.3333,1560,0,283,433.3333,200,0,0,0,90,60,60,0,0,0,920,0,0,0,0,0,0,0,0
4243984,3,15,1,1,1065,6853.3333,0,6317,3500,700,600,0,0,0,0,0,0,0,0,600,400,0,0,0,120,0,0,0
4244744,5,12,1,9,2200,1083.3333,0,319,173.3333,0,87,0,0,0,0,0,0,0,0,480,0,44,136.6667,0,0,0,0,0
4244934,4,10,1,9,43.3333,2426.6667,3408,200,866.6667,0,0,0,0,160,0,0,0,160,0,0,43.3333,200,0,0,0,0,0,0
4245074,2,15,1,8,290,736.6667,0,665,433.3333,100,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
4245144,6,13,1,1,925,866.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0
4245694,6,16,1,1,31500,1170,0,304,260,200,0,0,1000,0,0,0,0,0,31000,200,0,0,0,0,0,0,0,0
4245814,4,15,1,8,385,953.3333,2750,0,260,60,0,0,0,50,0,0,0,50,0,100,0,0,0,0,0,0,0,0
4267403,2,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4267404,3,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4267523,2,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4267524,2,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
